id,nombre,apellido,email,telefono,rol,x,y,password
1,Matias,Gomez,matias.gomez@mail.com,1123456789,ADMIN,10,25,admin123
2,Sofia,Perez,sofia.perez@mail.com,1198765432,MANTENIMIENTO,50,75,mante123
3,Juan,Alvarez,juan.alvarez@mail.com,1155551234,ADMIN,120,30,admin123
4,Camila,Torres,camila.torres@mail.com,1144445678,MANTENIMIENTO,80,90,user123
5,Pedro,Nuñez,pedro.nunez@mail.com,1133339876,ADMIN,200,10,user123
6,Laura,Diaz,laura.diaz@mail.com,1122221111,USER,15,45,user123
7,Diego,Castro,diego.castro@mail.com,1111110000,USER,60,60,user123
8,Valeria,Rojas,valeria.rojas@mail.com,1199992222,USER,110,85,user123
9,Andres,Vidal,andres.vidal@mail.com,1188883333,USER,35,15,user123
10,Paula,Sosa,paula.sosa@mail.com,1177774444,USER,95,55,user123
11,Mario,Lopez,mario.lopez@mail.com,1166667777,USER,40,20,user123
12,Lucia,Fernandez,lucia.fernandez@mail.com,1155558888,USER,70,80,user123
13,Diego,Gonzalez,diego.gonzalez@mail.com,1144445555,USER,30,50,user123
14,Ana,Morales,ana.morales@mail.com,1133336666,USER,90,40,user123
15,Carlos,Ruiz,carlos.ruiz@mail.com,1122223333,USER,20,70,user123
16,Mariana,Santos,mariana.santos@mail.com,1111112222,USER,60,10,user123
17,Andres,Castro,andres.castro@mail.com,1199991111,USER,50,90,user123
18,Sofia,Diaz,sofia.diaz@mail.com,1188882222,USER,80,30,user123
19,Paolo,Romero,paolo.romero@mail.com,1177773333,USER,100,60,user123
20,Laura,Mendez,laura.mendez@mail.com,1166664444,USER,25,35,user123
